player_name,year,ba,iso,babip,slg,woba,xwoba,xba,hits,abs,launch_speed,launch_angle,run_exp,bat_speed,swing_length,Height(inches),Weight(pounds),Batter Age (6/30),whiff%,swing%,take%,pitch/abs
"Astudillo, Willians",2020,0.143,0.0,0.167,0.143,0.126,0.214,0.233,1.0,7.0,80.1,32.2,-1.9,68.37683044237907,7.1215685,74.0,201.1290322580645,28.0,0.08333333333333333,0.6,0.4,2.857142857142857
"Plummer, Nick",2022,0.143,0.429,0.0,0.571,0.296,0.322,0.285,1.0,7.0,88.9,11.6,-0.5,68.37683044237907,7.1215685,74.0,201.1290322580645,25.0,0.1111111111111111,0.5625,0.4375,2.2857142857142856
"Wong, Kean",2021,0.143,0.0,0.2,0.143,0.196,0.289,0.245,2.0,14.0,65.4,-7.6,-0.8,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.3333333333333333,0.5555555555555556,0.4444444444444444,3.857142857142857
"Groshans, Jordan",2022,0.143,0.0,0.182,0.143,0.126,0.161,0.164,2.0,14.0,85.3,13.2,-3.2,68.37683044237907,7.1215685,74.0,201.1290322580645,22.0,0.2222222222222222,0.48214285714285715,0.5178571428571429,4.0
"Haseley, Adam",2022,0.143,0.0,0.25,0.143,0.126,0.123,0.133,1.0,7.0,70.6,-16.8,1.2,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.2222222222222222,0.6,0.4,4.285714285714286
"Young, Jared",2023,0.143,0.286,0.25,0.429,0.256,0.279,0.242,2.0,14.0,95.1,13.4,-2.9,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.42105263157894735,0.5846153846153846,0.4153846153846154,4.642857142857143
"Taveras, Leody",2021,0.143,0.086,0.263,0.229,0.199,0.202,0.164,5.0,35.0,71.7,1.4,-7.8,68.37683044237907,7.1215685,74.0,201.1290322580645,22.0,0.2328767123287671,0.48344370860927155,0.5165562913907285,4.314285714285714
"Dozier, Hunter",2023,0.143,0.095,0.214,0.238,0.197,0.195,0.154,3.0,21.0,84.6,14.9,-2.6,68.37683044237907,7.1215685,74.0,201.1290322580645,31.0,0.4,0.47619047619047616,0.5238095238095238,4.0
"Bart, Joey",2023,0.143,0.0,0.182,0.143,0.214,0.22,0.096,2.0,14.0,80.7,20.5,-3.2,68.37683044237907,7.1215685,74.0,201.1290322580645,26.0,0.26666666666666666,0.379746835443038,0.620253164556962,5.642857142857143
"Weaver, Luke",2021,0.143,0.0,0.333,0.143,0.126,0.085,0.09,1.0,7.0,83.0,-4.0,-1.1,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.45454545454545453,0.5238095238095238,0.47619047619047616,3.0
"Marrero, Deven",2021,0.143,0.0,0.167,0.143,0.196,0.184,0.112,1.0,7.0,76.0,23.0,-1.7,68.37683044237907,7.1215685,74.0,201.1290322580645,30.0,0.3333333333333333,0.5217391304347826,0.4782608695652174,3.2857142857142856
"Maile, Luke",2022,0.143,0.0,0.171,0.143,0.214,0.227,0.124,6.0,42.0,84.7,15.4,-7.3,68.37683044237907,7.1215685,74.0,201.1290322580645,31.0,0.20408163265306123,0.46445497630331756,0.5355450236966824,5.023809523809524
"Alcántara, Sergio",2021,0.143,0.061,0.219,0.204,0.216,0.229,0.151,7.0,49.0,84.6,10.3,-8.5,68.37683044237907,7.1215685,74.0,201.1290322580645,24.0,0.26785714285714285,0.4426877470355731,0.5573122529644269,5.163265306122449
"Blankenhorn, Travis",2021,0.143,0.429,0.0,0.571,0.287,0.336,0.209,1.0,7.0,100.3,5.4,-0.8,68.37683044237907,7.1215685,74.0,201.1290322580645,24.0,0.16666666666666666,0.5217391304347826,0.4782608695652174,3.2857142857142856
"Holaday, Bryan",2021,0.143,0.0,0.333,0.143,0.2,0.183,0.112,1.0,7.0,77.5,34.0,-1.8,68.37683044237907,7.1215685,74.0,201.1290322580645,33.0,0.47058823529411764,0.5666666666666667,0.43333333333333335,4.285714285714286
"Garlick, Kyle",2020,0.143,0.143,0.167,0.286,0.177,0.23,0.249,1.0,7.0,92.0,7.3,-0.7,68.37683044237907,7.1215685,74.0,201.1290322580645,27.0,0.25,0.4,0.6,2.857142857142857
"Canario, Alexander",2024,0.143,0.143,0.333,0.286,0.179,0.166,0.145,1.0,7.0,97.4,28.0,-2.0,79.353791818,7.832787273,74.0,201.1290322580645,24.0,0.5454545454545454,0.5238095238095238,0.47619047619047616,3.0
"Martini, Nick",2021,0.143,0.0,0.143,0.143,0.098,0.196,0.23,1.0,7.0,82.7,20.3,-3.0,68.37683044237907,7.1215685,74.0,201.1290322580645,31.0,0.045454545454545456,0.5641025641025641,0.4358974358974359,5.571428571428571
"Allen, Greg",2022,0.143,0.071,0.267,0.214,0.166,0.184,0.156,4.0,28.0,82.8,9.1,-6.7,68.37683044237907,7.1215685,74.0,201.1290322580645,29.0,0.3220338983050847,0.45038167938931295,0.549618320610687,4.678571428571429
"VanMeter, Josh",2020,0.143,0.143,0.182,0.286,0.224,0.257,0.189,3.0,21.0,86.7,12.3,-2.9,68.37683044237907,7.1215685,74.0,201.1290322580645,25.0,0.37209302325581395,0.41346153846153844,0.5865384615384616,4.9523809523809526
"Paris, Kyren",2023,0.143,0.0,0.25,0.143,0.253,0.323,0.199,1.0,7.0,91.3,28.5,-0.9,68.37683044237907,7.1215685,74.0,201.1290322580645,21.0,0.2777777777777778,0.5454545454545454,0.45454545454545453,4.714285714285714
